a	b	c	d
48	76	72	70
75	47	20	74
22	38	64	86
84	5	61	28
28	66	66	77
6	93	59	88
71	42	41	92
39	21	20	1
90	24	54	30
37	35	63	66
26	26	86	14
1	40	45	78
88	34	40	54
65	12	79	68
76	64	89	92
35	67	43	69
30	71	64	54
88	86	52	24
66	49	44	60
80	17	37	68
73	72	74	52
65	28	53	79
73	15	59	78
41	50	51	35
46	14	23	8
5	74	96	13
68	52	27	57
39	4	93	90
100	52	89	97
3	26	89	83
29	20	36	90
33	53	87	46
73	92	28	40
25	25	64	69
32	65	24	30
5	69	98	36
53	64	19	69
99	15	85	41
17	79	86	23
72	68	6	89
1	68	35	31
79	89	86	23
43	76	37	58
39	42	43	84
39	86	59	69
27	66	96	15
1	16	32	42
3	100	31	86
53	69	92	51
62	92	13	85
47	54	26	26
35	86	77	78
79	64	18	88
86	69	82	63
36	48	77	47
29	41	90	24
47	49	80	66
3	64	60	17
23	63	78	72
89	70	62	84
19	96	39	24
83	5	70	22
74	50	99	24
67	40	27	7
47	90	84	14
88	55	83	54
98	45	54	46
76	37	57	42
67	27	61	85
66	23	93	96
12	44	90	54
49	34	40	54
77	8	7	25
100	86	73	97
51	34	57	81
30	85	45	5
44	75	53	89
53	44	16	27
5	89	81	34
77	5	10	29
10	96	53	36
22	88	63	44
30	39	45	15
56	42	95	31
72	29	57	30
4	42	54	22
2	6	8	69
24	24	45	84
84	60	22	56
59	3	86	30
89	93	63	72
43	51	11	70
45	44	49	34
78	19	13	82
85	22	52	93
32	99	17	23
70	59	43	4
15	80	100	45
12	3	17	56
40	66	70	60
79	4	18	8
53	21	63	26
72	21	27	3
40	27	70	96
20	83	81	32
86	80	10	63
93	22	56	69
54	80	22	83
45	74	63	64
3	58	17	85
1	71	9	63
63	91	6	10
41	3	32	57
45	69	22	66
60	4	97	69
13	13	24	54
87	4	13	70
50	99	40	14
39	27	61	64
40	37	34	11
84	86	15	6
39	97	21	95
52	68	49	28
94	24	41	65
5	25	63	62
28	88	18	93
89	63	31	47
33	59	1	80
20	43	35	24
28	46	9	50
2	76	28	42
6	98	34	24
69	11	37	39
52	60	34	97
73	35	35	70
47	83	24	24
27	37	89	28
44	65	37	39
4	37	17	53
87	30	94	18
3	16	48	91
85	86	40	6
68	93	18	52
87	13	96	84
46	64	3	8
74	72	94	56
11	46	76	28
52	26	72	10
97	25	29	47
79	44	6	12
14	93	94	54
37	18	26	27
83	83	43	68
9	25	39	79
51	44	95	10
40	27	34	69
11	55	56	65
44	58	84	97
5	65	81	24
33	96	5	54
100	71	58	33
32	35	39	61
63	34	61	50
25	89	48	39
99	6	37	24
2	90	45	54
46	1	59	82
71	76	13	81
58	79	93	28
18	84	73	8
57	60	84	84
21	78	76	68
64	72	83	7
25	81	12	70
60	39	27	71
84	26	7	88
1	95	84	45
59	15	1	88
14	24	45	97
49	43	1	98
14	53	33	57
100	85	41	31
51	58	27	20
37	74	64	98
85	54	96	52
39	24	24	2
22	5	66	58
50	15	13	45
50	60	70	3
16	13	3	85
56	54	46	86
41	86	64	88
89	37	71	24
56	70	53	94
86	82	78	16
81	99	60	24
45	83	41	68
100	38	81	98
11	100	48	76
91	2	35	17
86	66	24	33
33	34	52	95
8	57	74	7
44	46	2	51
9	54	65	96
4	16	45	22
95	85	83	19
90	100	42	46
99	56	49	6
80	48	31	66
88	57	80	19
84	74	93	65
43	30	89	70
38	98	74	61
89	78	98	79
38	99	90	88
18	91	63	42
84	60	74	23
1	52	22	8
29	74	8	21
50	51	58	24
71	15	70	31
73	36	84	49
40	78	35	25
31	45	54	75
4	13	68	88
9	44	35	100
61	88	66	23
44	14	90	8
58	11	64	32
5	94	23	69
39	50	57	24
12	71	92	52
53	26	42	6
85	6	46	7
12	69	41	23
69	37	49	62
48	12	91	17
66	38	36	71
73	57	81	88
100	78	80	49
20	11	85	34
33	4	65	44
27	79	40	20
7	44	8	97
67	93	17	17
45	32	71	90
97	63	44	99
4	49	47	1
45	89	47	62
55	30	42	66
67	13	38	43
8	22	10	27
54	23	56	1
85	65	84	53
41	35	29	33
12	86	17	7
35	89	10	17
71	37	50	84
75	29	51	22
57	72	39	54
99	27	75	4
75	97	95	55
55	95	87	7
10	82	6	62
22	1	55	29
57	39	2	50
94	88	86	41
50	3	28	74
20	24	83	43
59	3	61	56
9	55	57	39
87	12	60	20
68	46	13	44
16	53	72	81
26	31	8	64
72	71	82	63
54	76	75	67
58	91	21	68
69	35	5	53
31	23	75	52
86	96	86	43
33	83	100	95
46	70	96	89
74	67	87	21
53	5	29	36
70	85	85	86
42	10	55	88
40	100	43	60
13	30	91	96
44	71	73	68
53	100	51	72
28	30	71	49
30	1	97	16
65	25	8	71
57	58	34	14
49	80	42	72
77	25	65	42
87	31	56	58
1	69	78	61
50	80	34	41
49	36	25	81
24	79	55	59
65	42	27	92
75	15	33	76
100	70	43	19
35	40	55	50
34	56	97	64
11	16	18	55
45	63	74	70
40	30	77	55
55	62	55	37
54	6	40	72
34	62	43	75
12	57	81	13
23	4	15	56
91	87	61	71
71	64	4	46
89	44	11	14
21	71	26	90
8	7	75	49
64	94	51	74
46	41	100	74
49	12	17	48
17	93	90	56
76	16	7	27
65	21	71	58
45	43	12	91
83	69	95	45
32	9	18	8
37	47	97	92
14	23	15	1
20	1	91	54
55	97	43	25
37	95	11	67
18	100	30	27
86	70	25	14
85	72	4	99
65	55	2	54
48	4	60	46
14	83	9	79
100	51	45	20
9	13	3	96
79	15	58	49
16	75	67	71
81	17	7	55
83	67	50	97
77	46	40	59
93	18	46	13
2	69	93	84
4	45	28	93
26	10	53	22
89	53	53	98
44	50	98	37
83	64	25	5
9	46	98	29
30	57	4	75
71	21	68	51
69	67	44	43
67	55	79	22
8	65	15	26
46	34	11	10
31	92	76	20
25	30	44	97
50	33	21	22
99	82	85	96
2	73	32	17
92	96	39	98
56	95	98	80
99	43	46	100
53	69	62	27
86	51	75	34
4	53	69	78
17	81	57	44
98	2	87	60
75	15	18	93
51	100	56	7
88	92	68	37
62	74	20	27
47	86	68	56
41	18	64	98
8	88	56	40
50	16	2	40
6	80	36	4
83	45	81	63
42	90	63	80
40	84	13	93
82	52	24	75
20	54	23	99
64	22	82	34
66	2	3	89
54	55	7	11
4	1	90	58
88	88	20	4
53	67	4	84
82	56	81	42
24	41	84	90
27	24	1	99
86	83	96	45
4	5	79	34
89	17	61	43
69	1	100	94
35	81	67	77
26	24	66	71
22	45	36	58
15	2	29	44
24	31	40	35
76	38	91	38
91	23	9	42
54	96	15	59
69	91	100	60
11	59	72	70
24	28	25	91
46	35	40	4
11	87	77	65
99	60	9	90
18	38	90	20
26	90	75	89
43	57	4	54
91	27	27	91
86	94	56	64
83	99	7	12
38	8	97	64
38	82	63	50
57	13	47	22
82	97	56	11
68	48	74	30
53	52	3	40
90	97	73	48
67	61	26	69
77	54	61	76
83	63	40	15
56	98	62	64
11	83	49	6
64	86	37	95
70	89	24	6
12	40	85	28
24	63	49	12
27	82	95	99
30	11	83	36
92	31	65	43
51	87	28	12
22	2	99	49
75	62	74	52
4	90	16	90
8	29	68	25
61	54	46	17
99	66	59	24
91	55	8	49
91	38	9	44
86	57	48	98
22	50	75	91
46	56	67	27
46	36	81	80
95	74	5	48
37	31	86	18
66	59	16	97
58	16	83	8
3	94	66	74
99	9	43	33
77	40	45	12
21	54	29	27
29	18	40	27
27	5	65	51
36	75	94	40
29	25	93	75
85	80	22	18
39	91	70	14
14	98	72	11
59	58	35	6
48	3	98	32
59	29	96	1
52	1	2	17
45	42	94	98
79	38	79	68
20	46	13	15
95	8	18	96
8	51	2	99
14	9	90	97
92	63	33	44
47	1	13	30
85	77	68	59
49	97	5	69
48	83	66	2
95	8	24	70
90	29	35	29
98	15	17	96
69	32	64	76
80	35	59	61
39	26	58	10
14	49	54	80
83	39	46	70
54	78	66	54
46	88	83	20
60	71	76	32
20	99	59	94
55	53	53	82
16	83	15	30
85	20	69	49
49	30	17	7
22	44	37	36
7	51	34	70
49	29	44	32
2	24	41	63
38	35	79	37
51	54	96	60
82	96	28	2
29	17	95	29
79	27	50	33
59	62	28	12
41	18	29	6
34	32	58	85
62	93	87	40
61	72	96	58
70	12	72	89
66	57	65	29
58	71	45	53
46	80	63	76
42	10	79	35
30	67	40	16
82	1	85	83
80	19	30	47
11	96	100	38
81	70	77	19
40	80	66	91
67	68	53	25
39	52	66	1
30	59	11	93
93	91	89	78
31	51	3	78
12	46	99	53
43	13	94	35
98	73	70	80
87	78	59	73
98	96	58	59
2	21	68	38
3	51	96	46
6	36	86	62
30	55	93	81
92	88	1	100
65	54	70	52
80	69	81	4
31	23	93	55
33	17	83	29
4	40	68	20
65	23	89	13
26	53	85	6
82	1	97	76
7	24	64	64
94	36	78	62
68	84	78	12
82	63	23	7
76	47	64	21
41	86	90	64
58	96	79	54
3	86	76	74
15	51	76	25
44	40	72	70
97	63	80	22
98	79	44	83
40	13	92	27
20	99	58	92
13	55	12	79
32	62	54	66
43	66	31	89
40	49	26	76
2	46	17	99
14	18	3	36
29	75	83	89
99	90	60	30
7	10	22	100
23	62	55	61
94	97	66	78
32	40	18	61
76	30	50	59
34	52	66	91
7	29	30	48
56	41	80	96
67	9	93	37
46	52	29	24
